title,price,link,unit_sold,rating_count,stars
The 7 (Seven) Habits Of Highly Effective People By Stephen R. Covey,Rs. 399,https://www.daraz.com.np/products/the-7-seven-habits-of-highly-effective-people-by-stephen-r-covey-i156910917.html,N/A,1,5
Palpasa Cafe - Narayan Wagle -2061 Madan Puraskar Winner,Rs. 499,https://www.daraz.com.np/products/palpasa-cafe-narayan-wagle-2061-madan-puraskar-winner-i103344791.html,124 sold,20,5
Start With Why By Simon Sinek,Rs. 338,https://www.daraz.com.np/products/start-with-why-by-simon-sinek-i113470602.html,88 sold,10,4
Bhagavad Gita Nepali Pocket Edition,Rs. 395,https://www.daraz.com.np/products/bhagavad-gita-nepali-pocket-edition-i128508335.html,132 sold,38,4
The Art Of Public Speaking By Dale Carnegie,Rs. 132,https://www.daraz.com.np/products/the-art-of-public-speaking-by-dale-carnegie-i127849114.html,112 sold,16,4
The Psychology of Money (Nepali) By Morgan Housel,Rs. 440,https://www.daraz.com.np/products/the-psychology-of-money-nepali-by-morgan-housel-i127277496.html,49 sold,8,5
Private International Law (Conflict of Laws)  Dr. Sai Ramani Garimella),Rs. 400,https://www.daraz.com.np/products/private-international-law-conflict-of-laws-dr-sai-ramani-garimella-i131322335.html,N/A,1,5
Radha - Krishna Dharabasi - 2062 Bs Madan Puraskar Winner,Rs. 520,https://www.daraz.com.np/products/radha-krishna-dharabasi-2062-bs-madan-puraskar-winner-i103345822.html,73 sold,17,4
Lean Startup By Eric Ries,Rs. 415,https://www.daraz.com.np/products/lean-startup-by-eric-ries-i297782284.html,7 sold,2,5
Shakti - Rhonda Byrne (The Power Nepali Translation),Rs. 320,https://www.daraz.com.np/products/shakti-rhonda-byrne-the-power-nepali-translation-i103394331.html,27 sold,7,5
Srimad Bhagavad Gita Yatharup - Hindi,Rs. 540,https://www.daraz.com.np/products/srimad-bhagavad-gita-yatharup-hindi-i103494019.html,208 sold,55,4
"Heritage IOE Entrance Accelerator & E-PCM By Bijay Puri || With Past Questions and Solutions of KU, PU & PoU Engineering Entrance Exams as well || 10th New Edition 2025/26","Rs. 1,250",https://www.daraz.com.np/products/heritage-ioe-entrance-accelerator-e-pcm-by-bijay-puri-with-past-questions-and-solutions-of-ku-pu-pou-engineering-entrance-exams-as-well-10th-new-edition-202526-i132107454.html,52 sold,6,4
Combo Of 4 Bestseller Selfhep Books,Rs. 587,https://www.daraz.com.np/products/combo-of-4-bestseller-selfhep-books-i155060109.html,43 sold,11,5
Animal Farm By George Orwell,Rs. 199,https://www.daraz.com.np/products/animal-farm-by-george-orwell-i103630759.html,54 sold,10,4
The Intelligent Investor (Nepali Version) By Benjamin Graham,Rs. 290,https://www.daraz.com.np/products/the-intelligent-investor-nepali-version-by-benjamin-graham-i127836991.html,248 sold,37,4
Intelligent Investor (Nepali) Sharema Lagani by Benjamin,Rs. 240,https://www.daraz.com.np/products/intelligent-investor-nepali-sharema-lagani-by-benjamin-i128001036.html,90 sold,15,4
Mithila Lokkatha Sangalo - Ramdayal Rakesh,Rs. 95,https://www.daraz.com.np/products/mithila-lokkatha-sangalo-ramdayal-rakesh-i125034273.html,11 sold,4,4
Sansar ko Sabaibhanda Mahan Salesman - Ong Mandino (The Greatest Salesman in the World Nepali translation),Rs. 150,https://www.daraz.com.np/products/sansar-ko-sabaibhanda-mahan-salesman-ong-mandino-the-greatest-salesman-in-the-world-nepali-translation-i103506648.html,98 sold,23,4
How To Win Friends And Influence People By Dale Carnegie,Rs. 152,https://www.daraz.com.np/products/how-to-win-friends-and-influence-people-by-dale-carnegie-i152018342.html,37 sold,4,4
Rich Dad Poor Dad (Nepali) By Robart T Kiyosaki,Rs. 299,https://www.daraz.com.np/products/rich-dad-poor-dad-nepali-by-robart-t-kiyosaki-i100116059.html,384 sold,74,4
The Art Of Seduction By Robert Greene,Rs. 429,https://www.daraz.com.np/products/the-art-of-seduction-by-robert-greene-i128813230.html,178 sold,41,4
Ek Sarko Maya (Nepali) by G.S. Poudel,Rs. 750,https://www.daraz.com.np/products/ek-sarko-maya-nepali-by-gs-poudel-i126213561.html,20 sold,2,5
Samaya Byawasthapan By Dr.Sudhir Dixit,Rs. 60,https://www.daraz.com.np/products/samaya-byawasthapan-by-drsudhir-dixit-i100942108.html,105 sold,19,4
Blue Ocean Strategy By W. Chan Kim,Rs. 549,https://www.daraz.com.np/products/blue-ocean-strategy-by-w-chan-kim-i129790619.html,87 sold,9,4
Atomic Habits+Rich Dad Poor Dad+ Think And Grow Rich +The Subtle Art Of Not Giving- Combo Books,Rs. 932,https://www.daraz.com.np/products/atomic-habitsrich-dad-poor-dadthink-and-grow-richthe-subtle-art-of-not-giving-combo-books-i128319515.html,2.1K sold,603,4
No Longer Human by Osamu Dazai,Rs. 455,https://www.daraz.com.np/products/no-longer-human-by-osamu-dazai-i129460955.html,194 sold,34,4
Think And Grow Rich By Napoleon Hill,Rs. 160,https://www.daraz.com.np/products/think-and-grow-rich-by-napoleon-hill-i128285037.html,175 sold,39,4
Candlestick Pattern and Chart Pattern(Nepali for Beginner),Rs. 398,https://www.daraz.com.np/products/candlestick-pattern-and-chart-patternnepali-for-beginner-i187835292.html,9 sold,2,5
How to Invest in Stock Market (Share Market Book),Rs. 210,https://www.daraz.com.np/products/how-to-invest-in-stock-market-share-market-book-i104842090.html,327 sold,63,4
